Year,AnnÈe,ISO,Jurisdiction,Juridiction,Cause,Origine,Number,Data Qualifier,Nombre,Qualificatifs de donnÈes
1990,1990,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,379,a,379,a
1990,1990,AB,Alberta,Alberta,Lightning,Foudre,971,a,971,a
1990,1990,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,16,a,16,a
1990,1990,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,1240,a,1240,a
1990,1990,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,2015,a,2015,a
1990,1990,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,283,a,283,a
1990,1990,MB,Manitoba,Manitoba,Lightning,Foudre,279,a,279,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Human activity,ActivitÈs humaines,318,a,318,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,29,a,29,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Unspecified,IndÈterminÈe,30,a,30,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,ActivitÈs humaines,154,a,154,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,11,a,11,a
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,ActivitÈs humaines,441,a,441,a
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,8,a,8,a
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,IndÈterminÈe,48,a,48,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,40,a,40,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,194,a,194,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,2,a,2,a
1990,1990,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,940,a,940,a
1990,1990,ON,Ontario,Ontario,Lightning,Foudre,645,a,645,a
1990,1990,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,27,a,27,a
1990,1990,PE,Prince Edward Island,Œle-du-Prince-…douard,Human activity,ActivitÈs humaines,30,a,30,a
1990,1990,PE,Prince Edward Island,Œle-du-Prince-…douard,Lightning,Foudre,0,a,0,a
1990,1990,PE,Prince Edward Island,Œle-du-Prince-…douard,Unspecified,IndÈterminÈe,8,a,8,a
1990,1990,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,595,a,595,a
1990,1990,QC,Quebec,QuÈbec,Lightning,Foudre,256,a,256,a
1990,1990,SK,Saskatchewan,Saskatchewan,Human activity,ActivitÈs humaines,434,a,434,a
1990,1990,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,463,a,463,a
1990,1990,YT,Yukon,Yukon,Human activity,ActivitÈs humaines,81,a,81,a
1990,1990,YT,Yukon,Yukon,Lightning,Foudre,73,a,73,a
1991,1991,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,433,a,433,a
1991,1991,AB,Alberta,Alberta,Lightning,Foudre,484,a,484,a
1991,1991,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,27,a,27,a
1991,1991,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,1253,a,1253,a
1991,1991,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,761,a,761,a
1991,1991,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,205,a,205,a
1991,1991,MB,Manitoba,Manitoba,Lightning,Foudre,467,a,467,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Human activity,ActivitÈs humaines,498,a,498,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,86,a,86,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Unspecified,IndÈterminÈe,72,a,72,a
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,ActivitÈs humaines,92,a,92,a
